,id,name,hazardous,distance,orbiting body,velocity,date,diameter
10194,3648868,(2013 TZ5),False,14199012.4360863236,Earth,16182.7835398935,2013-09-30,0.0771597762
10195,3648870,(2013 TA6),False,6052479.2924926422,Earth,25897.837266599,2013-10-07,0.0424024508
10196,3648873,(2013 TB6),False,6484496.0114856198,Merc,42639.1663170507,1900-10-14,0.1115298092
10197,3648874,(2013 TC6),False,14267352.652281786,Earth,24627.588326196,1908-06-02,0.0768052592
10198,3648872,(2013 TD6),False,29310564.6482792314,Earth,36500.5281529043,2013-10-09,0.1470249225
10199,3648877,(2013 TE6),False,41736063.7523126012,Earth,33650.5095820451,1910-10-10,0.1612096218
10200,3648875,(2013 TF6),False,19555000.617606352,Earth,40773.8093600459,1903-03-17,0.1719455574
10201,3648878,(2013 TG6),False,9247582.5163398372,Earth,15547.2818849459,1900-09-26,0.0178398402
10202,3648876,(2013 TH6),False,38686828.7034257904,Earth,54276.1371643792,2010-10-24,0.0255500032
10203,3648879,(2013 TJ6),False,2810186.616837259,Earth,32153.0675262806,1910-10-07,0.0336814639
10204,3648980,(2013 TQ12),False,45334069.6206638334,Earth,62883.052866845,1952-10-16,0.0615730915
10205,3648981,(2013 TR12),False,35742178.1482093542,Earth,54709.2201730797,1905-05-09,0.0070370552
10206,3648982,(2013 TW68),False,23631950.8374355704,Earth,20823.8095498397,1992-08-29,0.2029508896
10207,3648983,(2013 TX68),False,6442738.6459993954,Earth,36769.7266084534,1936-10-06,0.0336814639
10208,3648984,(2013 TY68),False,1432572.2577454978,Earth,24202.9721049762,2013-10-02,0.0092766455
10209,3649826,(2013 TG69),False,113890300.152681048,Juptr,18768.073026519,1910-12-27,0.2555000322
10210,3649827,(2013 TH69),False,8589874.5661802524,Earth,14107.6867292555,2013-10-11,0.0533815229
10211,3649824,(2013 TJ69),False,14243858.9925777654,Earth,32075.0472826585,2013-09-08,0.1397625961
10212,3649823,(2013 TK69),False,11795131.3527168274,Venus,17720.6362796202,1916-02-19,0.0793215075
10213,3649825,(2013 TL69),False,21258055.5402169408,Earth,44364.5517363847,2013-10-16,0.2029508896
10214,3650044,(2013 TM69),False,10591160.4006005728,Earth,26872.818483391,2010-05-13,0.0193816595
10215,3650046,(2013 TN69),False,29725579.2762801984,Earth,35140.005477824,2009-12-28,0.0807962044
10216,3650045,(2013 TO69),False,4943464.59250383,Earth,16821.2269022725,2013-10-24,0.0255500032
10217,3650362,(2013 TB80),False,166992647.6531247152,Juptr,15613.5314958965,1901-01-17,1.1412767218
10218,3650849,(2013 TL127),False,197904.0822171556,Moon,30347.4105794192,2013-10-08,0.0168807197
10219,3650848,(2013 TM127),False,15653586.6173523152,Earth,37312.8852978084,1909-10-02,0.0176762835
10220,3650847,(2013 TN127),False,13409966.549051955,Venus,21325.1312204241,1900-05-15,0.021251567
10221,3651153,(2013 TR132),True,41916809.5034190214,Earth,45057.4025148725,1922-09-26,0.357594606
10222,3651154,(2013 TS132),False,43173890.6809287312,Earth,4316.026095786,1914-01-14,0.3642427861
10223,3651155,(2013 TU132),False,19642879.6329660814,Earth,15578.6647246994,2013-10-07,0.0464933628
10224,3651157,(2013 TV132),False,2058047.3917601974,Earth,21316.28399479,2013-10-05,0.0176762835
10225,3651158,(2013 TE135),True,13722805.7632331658,Earth,61109.9487205215,1900-10-13,0.3867149477
10226,3651159,(2013 TF135),False,5115282.5612478504,Earth,22117.6710142332,2013-10-15,0.0307178602
10227,3651161,(2013 TG135),False,15769706.61979313,Earth,36258.1540458995,1962-10-19,0.0336814639
10228,3651160,(2013 TH135),False,25458125.938891513,Earth,5858.6784456332,2013-09-16,0.2531575938
10229,3651162,(2013 TJ135),False,39857853.9520253652,Earth,56959.6266817816,1988-10-09,0.2675413778
10230,3651163,(2013 TL135),False,27757492.5893816168,Earth,21611.1714198388,1916-10-20,0.1850934111
10231,3651165,(2013 TM135),False,6035002.978160742,Earth,15204.7839438753,2013-10-10,0.0222531225
10232,3651168,(2013 TQ135),False,5460843.1951770242,Earth,19398.8553556701,2013-10-12,0.0386714948
10233,3651167,(2013 TR135),False,2882718.9725628706,Earth,59476.6929394316,2013-09-30,0.0846040122
10234,3651166,(2013 TS135),False,24444689.7371955072,Earth,27281.1671686509,2013-11-07,0.1688071972
10235,3651169,(2013 TT135),True,15954449.1638033904,Earth,26728.8764744534,1900-08-04,0.1539539936
10236,3651170,(2013 TU135),False,3198353.6002200164,Earth,23428.7627516538,2013-10-11,0.0585316759
10237,3651198,(2013 TV135),True,8656085.0626088682,Earth,24953.0405626107,1907-08-16,0.464933628
10238,3651199,(2013 TW135),False,27671641.5629546476,Earth,38116.8650653157,1907-04-07,0.2853585958
10239,3651224,(2013 TC136),False,5853275.678812026,Mars,29794.2207334554,1943-10-03,0.4501849366
10240,3653212,(2013 TV144),False,29124016.9118120316,Earth,2224.3641337838,1914-09-24,0.2675413778
10241,3651205,(2013 UB),False,10713817.8175569168,Venus,18255.0318568273,1901-08-13,0.0176762835
10242,3651206,(2013 UC),False,20395400.7762676746,Earth,9430.2389238882,1935-10-24,0.1568162121
10243,3651225,(2013 UK),False,46054153.593776631,Earth,6277.1156238056,1900-08-25,0.0815438025
10244,3652856,(2013 UX),False,33607522.9765034096,Earth,58283.8202469684,1920-11-05,0.1470249225
10245,3652857,(2013 UY),False,9197493.865898315,Earth,25825.6950538131,1905-11-11,0.2578641449
10246,3652858,(2013 UZ),False,6791552.9748236648,Earth,27726.8840435187,2013-10-12,0.122290004
10247,3652981,(2013 UB1),False,136745328.231980319,Juptr,11629.6536904055,1996-09-17,0.2508366311
10248,3652982,(2013 UC1),False,39877674.9092431646,Earth,35259.8656084181,1932-12-26,0.0424024508
10249,3652983,(2013 UD1),False,40894624.8125192286,Earth,15594.8778644371,2010-04-27,0.0424024508
10250,3652984,(2013 UE1),False,14552452.2829994754,Earth,30561.8472665268,1919-01-27,0.0486845275
10251,3652985,(2013 UG1),False,33942695.5667225684,Earth,53903.9410976924,1900-12-21,0.1125617818
10252,3653044,(2013 UP1),False,12245681.1634177968,Earth,12200.1581815533,2013-10-14,0.0668945843
10253,3653045,(2013 UQ1),False,31885230.9427969268,Earth,32575.2572691917,1947-09-24,0.0307178602
10254,3653046,(2013 UR1),False,433027.0091704886,Moon,47930.1736371259,1952-10-20,0.0097138403
10255,3653047,(2013 US1),False,5624601.4865352982,Earth,18059.999438767,1909-12-28,0.0280150214
10256,3653048,(2013 UU1),False,15068933.3322966754,Earth,20764.7455444113,1928-11-14,0.0521664111
10257,3653065,(2013 UX2),False,30349628.1149987952,Earth,28608.101994635,1941-10-08,0.0053381523
10258,3653066,(2013 UB3),False,6636732.0495713892,Earth,13326.3777556278,1901-09-16,0.0255500032
10259,3653067,(2013 UC3),False,19333954.6483418216,Earth,25431.1528451353,2013-10-26,0.0641787064
10260,3653069,(2013 UF3),False,8176774.6232801122,Earth,47734.3124138068,1901-05-25,0.134088323
