,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (miles)
4964,3335045,(2006 KJ89),False,152270932.01,Juptr,7162.88,1989-10-02,0.06
4965,3335046,(2006 KK89),False,33464702.17,Earth,37050.99,2004-06-08,0.12
4966,3335047,(2006 KL89),False,3507992.27,Mars,26588.14,1915-01-07,0.7
4967,3335048,(2006 KM89),False,16673807.47,Earth,5507.99,2004-06-23,0.07
4968,3335049,(2006 KN89),True,9946950.47,Earth,34315.21,2006-06-09,0.19
4969,3335227,(2006 KK103),False,13119447.37,Earth,13741.61,2006-06-23,0.12
4970,3335302,(2006 KL103),False,4031514.03,Mars,16324.04,2002-06-01,0.03
4971,3335422,(2006 KY112),False,10428379.19,Earth,25864.68,2006-06-09,0.2
4972,3335304,(2006 LA),False,6408442.66,Earth,63887.59,1900-05-01,0.7
4973,3335306,(2006 LC),False,3993344.00,Earth,20932.4,2006-06-09,0.09
4974,3335421,(2006 LD),False,9188186.86,Earth,28095.83,2006-05-30,0.07
4975,3335423,(2006 LF),False,134279292.96,Juptr,10800.29,1904-03-03,0.66
4976,3335553,(2006 LH),False,5020681.65,Earth,20602.93,1908-06-17,0.04
4977,3335424,(2006 LK),True,68222448.27,Juptr,10480.66,1921-04-13,0.42
4978,3335555,(2006 LM),False,878814.62,Moon,20380.98,2006-06-07,0.04
4979,3335613,(2006 LD1),True,7456331.31,Mars,34350.73,1903-07-01,0.24
4980,3337024,(2006 MA),False,46415851.33,Earth,31332.98,2019-07-03,0.61
4981,3336867,(2006 MB),False,32641472.35,Earth,26395.82,1905-01-14,0.11
4982,3336903,(2006 MV1),False,640711.49,Earth,11486.0,2003-06-20,0.02
4983,3336904,(2006 MW1),False,145263095.98,Juptr,10583.21,1906-05-30,0.4
4984,3337025,(2006 MY1),False,30093671.86,Earth,15335.23,1909-05-24,0.13
4985,3337063,(2006 MS6),False,11987787.82,Earth,30128.25,1912-07-09,0.53
4986,3337064,(2006 MT6),False,44200965.38,Earth,9006.28,1911-07-12,0.45
4987,3337145,(2006 MH10),False,44112408.57,Earth,14452.44,1903-04-15,0.14
4988,3337292,(2006 MX13),False,18691887.99,Earth,14068.7,1913-08-27,0.4
4989,3337293,(2006 MY13),False,21229681.37,Earth,55998.33,2006-06-29,0.32
4990,3337294,(2006 MA14),False,38960926.38,Earth,36488.21,1904-05-21,0.19
4991,3337315,(2006 MB14),False,409100.94,Earth,23598.55,1985-06-28,0.03
4992,3337325,(2006 NL),False,30478582.27,Earth,36361.56,1900-09-25,0.37
4993,3337558,(2006 OZ),False,27357541.96,Earth,12883.42,1908-09-19,0.7
4994,3337559,(2006 OA1),False,10037979.03,Earth,43612.81,2006-07-19,0.13
4995,3337560,(2006 OM1),False,9653198.45,Earth,41735.41,1944-07-23,0.18
4996,3337561,(2006 ON1),True,9821995.39,Earth,26516.09,1909-07-22,0.2
4997,3337591,(2006 OK3),False,15846221.53,Earth,29761.63,1921-12-03,0.01
4998,3337592,(2006 OX4),False,19067383.42,Earth,23272.08,1947-07-18,0.22
4999,3337593,(2006 OY4),False,156783543.44,Juptr,4819.99,1979-03-08,0.07
5000,3337594,(2006 OZ4),False,39595606.53,Earth,58101.66,2003-07-08,0.17
5001,3337595,(2006 OA5),False,28270467.69,Earth,36699.19,1910-12-30,0.43
5002,3337598,(2006 OD5),False,24534498.52,Earth,14051.83,1914-09-16,0.46
5003,3337599,(2006 OF5),False,106355069.30,Juptr,7570.43,1908-08-09,0.52
5004,3337629,(2006 OV5),False,122330837.73,Juptr,11191.23,1919-11-17,0.56
5005,3337711,(2006 OB7),False,3168096.60,Earth,17154.92,2006-07-25,0.06
5006,3337712,(2006 OC7),False,176821465.40,Juptr,7037.26,2001-06-30,0.11
5007,3337714,(2006 OE7),False,16730223.33,Earth,61013.85,1900-04-12,0.37
5008,3337733,(2006 OS9),False,66933710.98,Juptr,26663.63,1903-03-28,0.76
