,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (meters)
30141,54317884,(2022 UL4),False,22735250.4703951294,Earth,31160.687841555,2022-10-14,154.1842379994
30142,54317885,(2022 UM4),False,34140503.4489760946,Earth,31430.89494097,1956-03-30,70.4757942143
30143,54317886,(2022 UN4),False,1909724.9883142206,Earth,11045.7195359948,2022-10-05,33.422580561
30144,54317887,(2022 UO4),False,11962767.4163649392,Earth,26846.7670325889,1900-01-30,53.4613570733
30145,54317888,(2022 UP4),False,7894442.6029567832,Earth,43305.8242465483,2022-10-14,54.2050786336
30146,54317889,(2022 UQ4),False,21446781.1196717534,Earth,14795.6451343047,1909-09-25,74.1378485408
30147,54317890,(2022 UR4),False,308371.0888630476,Moon,31391.5736419828,2018-10-20,9.7283677369
30148,54317891,(2022 UU4),False,6999132.5015420394,Earth,18389.7687392576,2022-10-22,63.3928064522
30149,54317892,(2022 UV4),False,26099712.9261441612,Earth,7606.295115513,1917-06-01,10.2338719537
30150,54318576,(2022 UW4),False,27246096.6781560662,Earth,34843.5205380894,1995-05-02,59.9846292283
30151,54318575,(2022 UX4),False,15250306.0238366626,Earth,15223.5757452093,2022-10-01,82.4213984152
30152,54318577,(2022 UY4),False,10216546.3644370348,Earth,22172.3823999249,2022-11-20,111.6966064835
30153,54318578,(2022 UZ4),False,2776141.2554311798,Earth,7519.3888403367,2022-10-15,15.0674576258
30154,54318579,(2022 UA5),False,31535685.7024700794,Earth,31471.4135692687,1928-07-09,6.1099826748
30155,54318580,(2022 UB5),False,9108301.4035909668,Earth,28702.739602692,2022-10-22,47.2106498806
30156,54318581,(2022 UC5),False,1446226.2851081616,Earth,28944.8780596538,2022-11-08,61.6651764838
30157,54318582,(2022 UD5),False,12910615.2748418872,Earth,21327.3134675843,1901-03-08,108.1533506775
30158,54318583,(2022 UE5),False,5742070.0639228192,Earth,20324.7311114746,2022-11-10,66.3804173771
30159,54318584,(2022 UJ5),False,34880423.986586519,Earth,43043.0690969975,1903-10-08,381.979432159
30160,54318586,(2022 UK5),False,45501544.0341653112,Earth,43838.8832826461,1913-02-07,72.4502650757
30161,54318587,(2022 UL5),False,19183977.5943667224,Earth,49419.2027070625,2022-09-03,375.0075217981
30162,54318588,(2022 UM5),False,39892997.0099533372,Earth,57401.2848346477,1986-04-19,188.8165155254
30163,54318589,(2022 UN5),False,34306520.1202322998,Earth,44488.5777097926,1963-04-05,55.980913209
30164,54318590,(2022 UO5),False,32540479.7564043622,Earth,48627.2219744099,1920-06-15,177.0271912367
30165,54318592,(2022 UP5),False,5385747.6109877044,Earth,22450.5719410297,2022-10-08,57.0216760901
